"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"1988-04-01 00:00:00",101.6012
"1988-05-01 00:00:00",101.639
"1988-06-01 00:00:00",101.6704
"1988-07-01 00:00:00",101.7159
"1988-08-01 00:00:00",101.8013
"1988-09-01 00:00:00",101.8474
"1988-10-01 00:00:00",101.8325
"1988-11-01 00:00:00",101.7931
"1988-12-01 00:00:00",101.7496
"1989-01-01 00:00:00",101.7244
"1989-02-01 00:00:00",101.6111
"1989-03-01 00:00:00",101.4358
"1989-04-01 00:00:00",101.2743
"1989-05-01 00:00:00",101.1888
"1989-06-01 00:00:00",101.192
"1989-07-01 00:00:00",101.2685
"1989-08-01 00:00:00",101.3679
"1989-09-01 00:00:00",101.4792
"1989-10-01 00:00:00",101.475
"1989-11-01 00:00:00",101.4228
"1989-12-01 00:00:00",101.3963
"1990-01-01 00:00:00",101.3784
"1990-02-01 00:00:00",101.312
"1990-03-01 00:00:00",101.2495
"1990-04-01 00:00:00",101.2159
"1990-05-01 00:00:00",101.1295
"1990-06-01 00:00:00",101.0027
"1990-07-01 00:00:00",100.7789
"1990-08-01 00:00:00",100.3775
"1990-09-01 00:00:00",99.939
"1990-10-01 00:00:00",99.65176
"1990-11-01 00:00:00",99.58183
"1990-12-01 00:00:00",99.62447
"1991-01-01 00:00:00",99.71861
"1991-02-01 00:00:00",99.97922
"1991-03-01 00:00:00",100.3621
"1991-04-01 00:00:00",100.5047
"1991-05-01 00:00:00",100.4959
"1991-06-01 00:00:00",100.4507
"1991-07-01 00:00:00",100.3885
"1991-08-01 00:00:00",100.3434
"1991-09-01 00:00:00",100.2845
"1991-10-01 00:00:00",100.0947
"1991-11-01 00:00:00",99.82705
"1991-12-01 00:00:00",99.63383
"1992-01-01 00:00:00",99.57584
"1992-02-01 00:00:00",99.67153
"1992-03-01 00:00:00",99.83745
"1992-04-01 00:00:00",99.93598
"1992-05-01 00:00:00",99.94246
"1992-06-01 00:00:00",99.84306
"1992-07-01 00:00:00",99.64725
"1992-08-01 00:00:00",99.42638
"1992-09-01 00:00:00",99.23643
"1992-10-01 00:00:00",99.17379
"1992-11-01 00:00:00",99.30472
"1992-12-01 00:00:00",99.4576
"1993-01-01 00:00:00",99.52792
"1993-02-01 00:00:00",99.52586
"1993-03-01 00:00:00",99.51613
"1993-04-01 00:00:00",99.48855
"1993-05-01 00:00:00",99.37406
"1993-06-01 00:00:00",99.21685
"1993-07-01 00:00:00",99.09023
"1993-08-01 00:00:00",99.0434
"1993-09-01 00:00:00",99.06612
"1993-10-01 00:00:00",99.16117
"1993-11-01 00:00:00",99.33882
"1993-12-01 00:00:00",99.65054
"1994-01-01 00:00:00",99.97492
"1994-02-01 00:00:00",100.1959
"1994-03-01 00:00:00",100.3436
"1994-04-01 00:00:00",100.4978
"1994-05-01 00:00:00",100.6546
"1994-06-01 00:00:00",100.7843
"1994-07-01 00:00:00",100.8776
"1994-08-01 00:00:00",100.9795
"1994-09-01 00:00:00",101.0529
"1994-10-01 00:00:00",101.0778
"1994-11-01 00:00:00",101.0584
"1994-12-01 00:00:00",101.0299
"1995-01-01 00:00:00",100.9819
"1995-02-01 00:00:00",100.8546
"1995-03-01 00:00:00",100.7134
"1995-04-01 00:00:00",100.6681
"1995-05-01 00:00:00",100.6903
"1995-06-01 00:00:00",100.7888
"1995-07-01 00:00:00",100.8601
"1995-08-01 00:00:00",100.8396
"1995-09-01 00:00:00",100.706
"1995-10-01 00:00:00",100.5898
"1995-11-01 00:00:00",100.5109
"1995-12-01 00:00:00",100.4866
"1996-01-01 00:00:00",100.4887
"1996-02-01 00:00:00",100.5271
"1996-03-01 00:00:00",100.6094
"1996-04-01 00:00:00",100.637
"1996-05-01 00:00:00",100.63
"1996-06-01 00:00:00",100.6546
"1996-07-01 00:00:00",100.6945
"1996-08-01 00:00:00",100.7384
"1996-09-01 00:00:00",100.7602
"1996-10-01 00:00:00",100.7663
"1996-11-01 00:00:00",100.7503
"1996-12-01 00:00:00",100.7186
"1997-01-01 00:00:00",100.7434
"1997-02-01 00:00:00",100.8279
"1997-03-01 00:00:00",100.943
"1997-04-01 00:00:00",101.0908
