DATE,TOTCI
1973-01-01,139.9047000000000000
1973-04-01,149.8688000000000000
1973-07-01,157.0841538461538462
1973-10-01,159.9778846153846154
1974-01-01,165.0203461538461538
1974-04-01,177.1684307692307692
1974-07-01,185.8156153846153846
1974-10-01,190.1044000000000000
1975-01-01,190.2660461538461538
1975-04-01,186.2305384615384615
1975-07-01,183.1831846153846154
1975-10-01,182.9128500000000000
1976-01-01,181.3791076923076923
1976-04-01,178.3377923076923077
1976-07-01,180.0054538461538462
1976-10-01,183.8115384615384615
1977-01-01,187.3761538461538462
1977-04-01,191.8267923076923077
1977-07-01,197.1165230769230769
1977-10-01,202.7965461538461538
1978-01-01,210.1208307692307692
1978-04-01,220.0943769230769231
1978-07-01,228.1408923076923077
1978-10-01,235.0782307692307692
1979-01-01,243.3749615384615385
1979-04-01,258.1561000000000000
1979-07-01,270.5875846153846154
1979-10-01,277.3835000000000000
1980-01-01,285.1018692307692308
1980-04-01,288.7333538461538462
1980-07-01,290.7659923076923077
1980-10-01,305.8690142857142857
1981-01-01,313.1274166666666667
1981-04-01,322.6066769230769231
1981-07-01,335.1994714285714286
1981-10-01,345.5980000000000000
1982-01-01,359.7357461538461538
1982-04-01,375.8689384615384615
1982-07-01,386.8701384615384615
1982-10-01,392.1567538461538462
1983-01-01,393.4267000000000000
1983-04-01,392.5415769230769231
1983-07-01,400.5051153846153846
1983-10-01,409.4382076923076923
1984-01-01,422.7157692307692308
1984-04-01,444.4538000000000000
1984-07-01,458.4302846153846154
1984-10-01,469.8574000000000000
1985-01-01,475.8954384615384615
1985-04-01,480.5989538461538462
1985-07-01,490.0039615384615385
1985-10-01,495.9290384615384615
1986-01-01,501.7969461538461538
1986-04-01,508.7113076923076923
1986-07-01,514.8010076923076923
1986-10-01,526.4302642857142857
1987-01-01,547.9689583333333333
1987-04-01,551.5597615384615385
1987-07-01,556.1256214285714286
1987-10-01,563.5102384615384615
1988-01-01,568.7596000000000000
1988-04-01,583.2557153846153846
1988-07-01,594.5906153846153846
1988-10-01,601.4373153846153846
1989-01-01,612.7215384615384615
1989-04-01,622.3773230769230769
1989-07-01,634.1757384615384615
1989-10-01,638.9929384615384615
1990-01-01,636.6826615384615385
1990-04-01,640.7006384615384615
1990-07-01,640.0455230769230769
1990-10-01,639.3952384615384615
1991-01-01,636.0097000000000000
1991-04-01,628.8724000000000000
1991-07-01,620.8327846153846154
1991-10-01,619.6536384615384615
1992-01-01,610.8261307692307692
1992-04-01,602.8879538461538462
1992-07-01,598.5027285714285714
1992-10-01,596.7292230769230769
1993-01-01,593.4968461538461538
1993-04-01,587.9520615384615385
1993-07-01,587.0534384615384615
1993-10-01,583.7679153846153846
1994-01-01,590.0276692307692308
1994-04-01,604.6554461538461538
1994-07-01,620.8230692307692308
1994-10-01,637.4072461538461538
1995-01-01,664.0410923076923077
1995-04-01,684.3232692307692308
1995-07-01,702.2154461538461538
1995-10-01,710.6289538461538462
1996-01-01,724.0376000000000000
1996-04-01,736.1321230769230769
1996-07-01,749.2339307692307692
1996-10-01,771.3124846153846154
1997-01-01,788.0295384615384615
1997-04-01,807.8311076923076923
1997-07-01,821.8780615384615385
1997-10-01,839.1439428571428571
1998-01-01,861.3755250000000000
1998-04-01,875.1019000000000000
1998-07-01,903.8587928571428571
1998-10-01,937.4253769230769231
1999-01-01,939.7426846153846154
1999-04-01,946.4472615384615385
1999-07-01,967.2897923076923077
1999-10-01,992.7126076923076923
2000-01-01,1015.0994384615384615
2000-04-01,1049.1804538461538462
2000-07-01,1070.5605615384615385
2000-10-01,1080.4880230769230769
2001-01-01,1093.9069923076923077
2001-04-01,1082.6349000000000000
2001-07-01,1059.9095076923076923
2001-10-01,1035.2079846153846154
2002-01-01,1014.0495615384615385
2002-04-01,993.1062000000000000
2002-07-01,972.5711846153846154
2002-10-01,960.7570076923076923
2003-01-01,944.5417153846153846
2003-04-01,926.1837307692307692
2003-07-01,912.2735384615384615
2003-10-01,884.5964285714285714
2004-01-01,873.6853076923076923
2004-04-01,865.5304615384615385
2004-07-01,882.4441153846153846
2004-10-01,897.1038769230769231
2005-01-01,932.7011230769230769
2005-04-01,967.1985307692307692
2005-07-01,994.7835615384615385
2005-10-01,1023.4391000000000000
2006-01-01,1057.8295769230769231
2006-04-01,1101.4131846153846154
2006-07-01,1143.7991384615384615
2006-10-01,1170.0327076923076923
2007-01-01,1203.1189846153846154
2007-04-01,1243.1935615384615385
2007-07-01,1309.3813538461538462
2007-10-01,1391.7476461538461538
2008-01-01,1451.1236384615384615
2008-04-01,1491.9394923076923077
2008-07-01,1515.4894461538461538
2008-10-01,1572.5674785714285714
2009-01-01,1531.5040916666666667
2009-04-01,1471.4221692307692308
2009-07-01,1369.0341285714285714
2009-10-01,1288.0880538461538462
2010-01-01,1224.4135692307692308
2010-04-01,1198.0603769230769231
2010-07-01,1187.7575538461538462
2010-10-01,1187.9106846153846154
2011-01-01,1200.6523307692307692
2011-04-01,1225.4872461538461538
2011-07-01,1258.5845692307692308
2011-10-01,1291.1151153846153846
2012-01-01,1337.1507692307692308
2012-04-01,1380.2248384615384615
2012-07-01,1423.2619230769230769
2012-10-01,1458.0041153846153846
2013-01-01,1491.4263307692307692
2013-04-01,1512.0864384615384615
2013-07-01,1533.8866615384615385
2013-10-01,1558.6239923076923077
2014-01-01,1609.9206615384615385
2014-04-01,1660.6939307692307692
2014-07-01,1708.5486384615384615
2014-10-01,1750.4530071428571429
2015-01-01,1808.9439666666666667
2015-04-01,1860.7212307692307692
2015-07-01,1901.7996642857142857
