DATE,TOTCI
2015-10-01,1942.9502692307692308
2016-01-01,1988.9197230769230769
2016-04-01,2043.5955384615384615
2016-07-01,2059.3592307692307692
2016-10-01,2086.5984384615384615
2017-01-01,2076.6841153846153846
2017-04-01,2070.3528384615384615
2017-07-01,2086.3209692307692308
2017-10-01,2107.1127692307692308
2018-01-01,2110.8192307692307692
2018-04-01,2172.6597846153846154
2018-07-01,2208.4064384615384615
2018-10-01,2269.8096307692307692
2019-01-01,2327.8611769230769231
2019-04-01,2330.3251615384615385
2019-07-01,2357.2106846153846154
2019-10-01,2365.8251538461538462
2020-01-01,2391.3157230769230769
2020-04-01,2955.8687538461538462
2020-07-01,2815.1303714285714286
2020-10-01,2642.5232461538461538
2021-01-01,2577.9884384615384615
2021-04-01,2526.9435076923076923
2021-07-01,2433.1697769230769231
2021-10-01,2443.3585461538461538
2022-01-01,2506.4973384615384615
2022-04-01,2613.1034923076923077
2022-07-01,2723.9948538461538462
2022-10-01,2788.9724153846153846
2023-01-01,2801.5535230769230769
2023-04-01,2764.0954538461538462
2023-07-01,2756.6959615384615385
2023-10-01,2766.0871769230769231
2024-01-01,2755.8485538461538462
2024-04-01,2756.7723153846153846
2024-07-01,2764.7597000000000000
2024-10-01,.
