DATE,UMCSENT
1953-01-01,90.7000000000000000
1953-04-01,.
1953-07-01,80.8000000000000000
1953-10-01,80.7000000000000000
1954-01-01,82.0000000000000000
1954-04-01,82.9000000000000000
1954-07-01,.
1954-10-01,87.0000000000000000
1955-01-01,95.9000000000000000
1955-04-01,99.1000000000000000
1955-07-01,.
1955-10-01,99.7000000000000000
1956-01-01,.
1956-04-01,98.2000000000000000
1956-07-01,99.9000000000000000
1956-10-01,100.2000000000000000
1957-01-01,.
1957-04-01,92.9000000000000000
1957-07-01,.
1957-10-01,83.7000000000000000
1958-01-01,78.5000000000000000
1958-04-01,80.9000000000000000
1958-07-01,.
1958-10-01,90.8000000000000000
1959-01-01,.
1959-04-01,95.3000000000000000
1959-07-01,.
1959-10-01,93.8000000000000000
1960-01-01,100.0000000000000000
1960-04-01,93.3000000000000000
1960-07-01,97.2000000000000000
1960-10-01,90.1000000000000000
1961-01-01,91.6000000000000000
1961-04-01,92.5000000000000000
1961-07-01,99.2000000000000000
1961-10-01,93.0000000000000000
1962-01-01,99.9000000000000000
1962-04-01,95.4000000000000000
1962-07-01,91.6000000000000000
1962-10-01,95.0000000000000000
1963-01-01,98.4000000000000000
1963-04-01,91.7000000000000000
1963-07-01,96.4000000000000000
1963-10-01,94.4000000000000000
1964-01-01,99.5000000000000000
1964-04-01,98.5000000000000000
1964-07-01,100.6000000000000000
1964-10-01,99.9000000000000000
1965-01-01,102.0000000000000000
1965-04-01,105.4000000000000000
1965-07-01,103.4000000000000000
1965-10-01,102.9000000000000000
1966-01-01,100.0000000000000000
1966-04-01,95.7000000000000000
1966-07-01,91.2000000000000000
1966-10-01,88.3000000000000000
1967-01-01,94.1000000000000000
1967-04-01,95.9000000000000000
1967-07-01,97.0000000000000000
1967-10-01,92.9000000000000000
1968-01-01,97.2000000000000000
1968-04-01,92.4000000000000000
1968-07-01,92.4000000000000000
1968-10-01,91.7000000000000000
1969-01-01,98.2000000000000000
1969-04-01,91.5000000000000000
1969-07-01,86.4000000000000000
1969-10-01,79.7000000000000000
1970-01-01,78.1000000000000000
1970-04-01,75.4000000000000000
1970-07-01,77.6000000000000000
1970-10-01,72.4000000000000000
1971-01-01,78.1000000000000000
1971-04-01,80.2000000000000000
1971-07-01,82.1000000000000000
1971-10-01,82.0000000000000000
1972-01-01,92.8000000000000000
1972-04-01,88.6000000000000000
1972-07-01,95.2000000000000000
1972-10-01,90.7000000000000000
1973-01-01,81.9000000000000000
1973-04-01,77.0000000000000000
1973-07-01,72.0000000000000000
1973-10-01,76.5000000000000000
1974-01-01,61.8000000000000000
1974-04-01,72.1000000000000000
1974-07-01,64.4000000000000000
1974-10-01,59.5000000000000000
1975-01-01,57.6000000000000000
1975-04-01,72.8000000000000000
1975-07-01,75.7000000000000000
1975-10-01,75.6000000000000000
1976-01-01,84.6000000000000000
1976-04-01,83.3000000000000000
1976-07-01,89.7000000000000000
1976-10-01,87.0000000000000000
1977-01-01,87.1000000000000000
1977-04-01,90.2000000000000000
1977-07-01,89.0000000000000000
1977-10-01,84.4000000000000000
1978-01-01,82.2666666666666667
1978-04-01,81.5000000000000000
1978-07-01,80.4000000000000000
1978-10-01,73.4666666666666667
1979-01-01,71.4666666666666667
1979-04-01,66.6333333333333333
1979-07-01,63.8666666666666667
1979-10-01,62.1333333333333333
1980-01-01,63.4666666666666667
1980-04-01,54.3666666666666667
1980-07-01,67.7666666666666667
1980-10-01,72.0666666666666667
1981-01-01,68.2666666666666667
1981-04-01,73.9333333333333333
1981-07-01,74.8000000000000000
1981-10-01,65.7000000000000000
1982-01-01,66.5000000000000000
1982-04-01,66.2333333333333333
1982-07-01,66.7000000000000000
1982-10-01,72.4666666666666667
1983-01-01,75.2666666666666667
1983-04-01,91.5333333333333333
1983-07-01,91.2000000000000000
1983-10-01,91.5333333333333333
1984-01-01,99.5000000000000000
1984-04-01,96.5666666666666667
1984-07-01,98.8666666666666667
1984-10-01,94.9666666666666667
1985-01-01,94.4666666666666667
1985-04-01,94.3000000000000000
1985-07-01,92.8333333333333333
1985-10-01,91.0666666666666667
1986-01-01,95.5333333333333333
1986-04-01,96.7666666666666667
1986-07-01,94.8333333333333333
1986-10-01,92.0333333333333333
1987-01-01,90.4666666666666667
1987-04-01,91.8000000000000000
1987-07-01,93.9000000000000000
1987-10-01,86.4000000000000000
1988-01-01,92.3333333333333333
1988-04-01,93.5666666666666667
1988-07-01,96.0333333333333333
1988-10-01,93.0000000000000000
1989-01-01,95.8666666666666667
1989-04-01,90.9333333333333333
1989-07-01,92.4666666666666667
1989-10-01,91.7666666666666667
1990-01-01,91.2666666666666667
1990-04-01,90.9333333333333333
1990-07-01,79.1333333333333333
1990-10-01,65.1333333333333333
1991-01-01,74.9666666666666667
1991-04-01,80.7333333333333333
1991-07-01,82.6333333333333333
1991-10-01,71.8666666666666667
1992-01-01,70.7666666666666667
1992-04-01,78.9333333333333333
1992-07-01,76.1000000000000000
1992-10-01,83.2000000000000000
1993-01-01,87.2666666666666667
1993-04-01,82.4666666666666667
1993-07-01,77.4000000000000000
1993-10-01,84.0333333333333333
1994-01-01,93.0000000000000000
1994-04-01,92.2000000000000000
1994-07-01,90.7333333333333333
1994-10-01,93.1333333333333333
1995-01-01,94.3333333333333333
1995-04-01,91.6666666666666667
1995-07-01,93.1666666666666667
1995-10-01,89.8000000000000000
1996-01-01,90.5000000000000000
1996-04-01,91.5000000000000000
1996-07-01,94.9000000000000000
1996-10-01,97.5333333333333333
1997-01-01,99.0333333333333333
1997-04-01,103.0333333333333333
