DATE,NASDAQCOM
2013-07-01,3640.8954687500000000
2013-10-01,3957.0762500000000000
2014-01-01,4210.4047540983606557
2014-04-01,4195.8063492063492063
2014-07-01,4482.7428125000000000
2014-10-01,4600.9385937500000000
2015-01-01,4825.2644262295081967
2015-04-01,5030.1671428571428571
2015-07-01,4924.3281250000000000
2015-10-01,4998.1381250000000000
2016-01-01,4614.2006557377049180
2016-04-01,4845.7121875000000000
2016-07-01,5168.8890625000000000
2016-10-01,5309.8903174603174603
2017-01-01,5736.3222580645161290
2017-04-01,6095.4417460317460317
2017-07-01,6343.1301587301587302
2017-10-01,6758.3811111111111111
2018-01-01,7253.8485245901639344
2018-04-01,7355.9388593750000000
2018-07-01,7874.5765873015873016
2018-10-01,7215.1139682539682540
2019-01-01,7343.6219672131147541
2019-04-01,7876.6662968750000000
2019-07-01,8067.4640625000000000
2019-10-01,8445.7089062500000000
2020-01-01,8771.7291935483870968
2020-04-01,9091.0000000000000000
2020-07-01,10926.833593750000
2020-10-01,11954.446562500000
2021-01-01,13351.456393442623
2021-04-01,13847.628095238095
2021-07-01,14839.972343750000
2021-10-01,15390.786718750000
2022-01-01,14000.619838709677
2022-04-01,12195.240000000000
2022-07-01,11891.069843750000
2022-10-01,10871.376031746032
2023-01-01,11481.441129032258
2023-04-01,12676.755161290323
2023-07-01,13785.277936507937
2023-10-01,13910.692698412698
2024-01-01,15692.028688524590
2024-04-01,16621.268571428571
2024-07-01,17610.607968750000
2024-10-01,.
