DATE,IRLTLT01USQ156N
1953-04-01,2.9966666666666697
1953-07-01,2.9166666666666696
1953-10-01,2.64333333333333
1954-01-01,2.44
1954-04-01,2.34666666666667
1954-07-01,2.34666666666667
1954-10-01,2.47333333333333
1955-01-01,2.64666666666667
1955-04-01,2.76333333333333
1955-07-01,2.94666666666667
1955-10-01,2.91
1956-01-01,2.9
1956-04-01,3.0833333333333304
1956-07-01,3.2733333333333303
1956-10-01,3.47333333333333
1957-01-01,3.40333333333333
1957-04-01,3.62666666666667
1957-07-01,3.92666666666667
1957-10-01,3.63333333333333
1958-01-01,3.04
1958-04-01,2.9233333333333302
1958-07-01,3.5
1958-10-01,3.8
1959-01-01,3.99
1959-04-01,4.2566666666666695
1959-07-01,4.50333333333333
1959-10-01,4.58333333333333
1960-01-01,4.48666666666667
1960-04-01,4.26
1960-07-01,3.8333333333333304
1960-10-01,3.88666666666667
1961-01-01,3.7866666666666697
1961-04-01,3.79
1961-07-01,3.98
1961-10-01,3.97333333333333
1962-01-01,4.01666666666667
1962-04-01,3.87333333333333
1962-07-01,3.99
1962-10-01,3.90333333333333
1963-01-01,3.89333333333333
1963-04-01,3.9633333333333303
1963-07-01,4.0333333333333306
1963-10-01,4.12
1964-01-01,4.18
1964-04-01,4.2
1964-07-01,4.19333333333333
1964-10-01,4.17333333333333
1965-01-01,4.2033333333333305
1965-04-01,4.20666666666667
1965-07-01,4.24666666666667
1965-10-01,4.47333333333333
1966-01-01,4.77
1966-04-01,4.78
1966-07-01,5.14
1966-10-01,5.00333333333333
1967-01-01,4.58333333333333
1967-04-01,4.82
1967-07-01,5.24666666666667
1967-10-01,5.64333333333333
1968-01-01,5.61
1968-04-01,5.7433333333333305
1968-07-01,5.46
1968-10-01,5.77
1969-01-01,6.176666666666669
1969-04-01,6.35333333333334
1969-07-01,6.85666666666667
1969-10-01,7.2966666666666695
1970-01-01,7.36666666666667
1970-04-01,7.71333333333333
1970-07-01,7.46
1970-10-01,6.85333333333333
1971-01-01,6.01666666666667
1971-04-01,6.24666666666667
1971-07-01,6.48333333333333
1971-10-01,5.89
1972-01-01,6.0333333333333306
1972-04-01,6.14333333333333
1972-07-01,6.29
1972-10-01,6.37333333333333
1973-01-01,6.60333333333333
1973-04-01,6.80666666666667
1973-07-01,7.20666666666667
1973-10-01,6.75333333333333
1974-01-01,7.05333333333333
1974-04-01,7.54333333333333
1974-07-01,7.96333333333333
1974-10-01,7.67
1975-01-01,7.54
1975-04-01,8.05
1975-07-01,8.29666666666667
1975-10-01,8.06333333333334
1976-01-01,7.75333333333333
1976-04-01,7.77333333333333
1976-07-01,7.73
1976-10-01,7.19
1977-01-01,7.35333333333333
1977-04-01,7.37
1977-07-01,7.35666666666667
1977-10-01,7.59666666666667
1978-01-01,8.01
1978-04-01,8.32
1978-07-01,8.49
1978-10-01,8.82
1979-01-01,9.10666666666667
1979-04-01,9.11333333333333
1979-07-01,9.10333333333333
1979-10-01,10.4466666666667
1980-01-01,11.986666666666698
1980-04-01,10.4766666666667
1980-07-01,10.953333333333301
1980-10-01,12.423333333333302
1981-01-01,12.96
1981-04-01,13.75
1981-07-01,14.846666666666698
1981-10-01,14.086666666666698
1982-01-01,14.293333333333301
1982-04-01,13.93
1982-07-01,13.1166666666667
1982-10-01,10.6666666666667
1983-01-01,10.5633333333333
1983-04-01,10.543333333333301
1983-07-01,11.626666666666699
1983-10-01,11.686666666666698
1984-01-01,11.943333333333301
1984-04-01,13.2
1984-07-01,12.8666666666667
